EMPRESA,NOME COMERCIAL,SUBSTÂNCIA ACTIVA,DOSAGEM,FORMA,APRESENTAÇÃO
AFRI FARMÁCIA LDA,KETROZOL-200,Ketoconazol,200mg,Comprimidos,10 x10 comp
"GENERICS & SPECIALITIES, Lda",KETOCONAZOLE TABLETS USP 200MG,Ketoconazol,200mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,CYCLOVAX CREAM,Aciclovir,0%,Creme,Bisnaga de 10g
"GENERICS & SPECIALITIES, Lda",CLOGEN,Clotrimazol,100mg,Comprimidos vaginais,
"GENERICS & SPECIALITIES, Lda",HISTAGEN-S,"Clorfeniramina, maleato",2mg,Xarope,Frasco de 100ml
AFRI FARMÁCIA LDA,GLYFORMIN 500,"Metformina, hidrocloreto",500mg,Comprimidos,"blisters de 10x10,"
"GENERICS & SPECIALITIES, Lda",FLUCOGEN,Fluconazol,150mg,Cápsulas,1 blister de 1 cápsula
AFRI FARMÁCIA LDA,DAY- BY -DAY,Vitamina A + Tiamina (Vitamiba B1 +  Riboflavina (vitamina B2) + Piridoxina (vitamina B6) + Cianocobalamina (vitamina B12) + Vitamina D3 + Biotina (vitamina H) + Pantotenato de Cálcio + Dióxido de Selênio + Fosfato de cálcio dibásico + Sulfato de potássio,2000UI + 1mg +1mg + 1.34mg + 1mcg + 200UI + 3mcg + 1mg + 50mcg + 1mg + 75mg +1mg,Comprimidos,3 blister de 10 comp
AFRI FARMÁCIA LDA,LAMIVUDINA + ZIDOVUDINA + NEVIRAPINA,Lamivudina + Zidovudina + Nevirapina,150mg + 300mg + 200mg,Comprimidos,Frasco de 60
"GENERICS & SPECIALITIES, Lda",FRUSEGEN,Furosemida,40mg,Comprimidos,embalagem de 10X10
"GENERICS & SPECIALITIES, Lda",METROGEN S,Metronidazol,200mg/5ml,Suspensão Oral,embalagem de 10X10
"GENERICS & SPECIALITIES, Lda",CONLAX-5,Bisacodil,5mg,Supositório,Bliste de 5 supositórios
"GENERICS & SPECIALITIES, Lda",CONLAX-10,Bisacodil,10mg,Supositório,
"GENERICS & SPECIALITIES, Lda",PARACIDO,Hidróxido de Alumínio + Hidróxido de Magnésio + Emulsão de Simeticone,250mg+250mg+50mg/5ml,Suspensão Oral,frasco de 200ml
"GENERICS & SPECIALITIES, Lda",LUMBRIX,Mebendazol,100mg,Comprimidos,20 blister de 6 comprimidos
"GENERICS & SPECIALITIES, Lda",GEN-Q,"Quinina, Sulfato",300mg,Comprimidos Revestidos,1000 comprimidos
"GENERICS & SPECIALITIES, Lda",GENPRAZOL,Omeprazol,20mg,Cápsulas,
AFRI FARMÁCIA LDA,LAMIVUDINA + ZIDOVUDINA,Lamivudina + Zidovudina,150mg + 300mg,Comprimidos,"1x10, e de 60"
AFRI FARMÁCIA LDA,UMIFLUVIN,Griseofulvina,500mg,Comprimidos,embalagem de 10 x 10
AFRI FARMÁCIA LDA,CIPROFLOXACIN TABLETS USP 500mg,Ciprofloxacina,500mg,Comprimidos Revestidos,1 blister de 10 comp e de 10 x 10 comprimidos
AFRI FARMÁCIA LDA,UCILLIN-500,Ampicilina Anidra,500mg,Injectável,Embalagem de 10 e 50 ampolas
"GENERICS & SPECIALITIES, Lda",PARALOGO,Paracetamol + Diclofenac,500mg + 50mg,Comprimidos,embalagem de 10X10
"GENERICS & SPECIALITIES, Lda",METROGEN,Metronidazol,250mg,Comprimidos,10X10
AFRI FARMÁCIA LDA,DANAZOL,Danazol,200mg,Comprimidos,3 blister de 10 comp
